"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"22258";2248;"";"";"Zieliñskiego Tadeusza  51 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-29";"25059/15";"4315/15";"2015-08-17";2015;7;"2015-07-01";14;"2015_07";"Lato";17,0213322;51,0993832
"22259";2249;"";"";"Daszyñskiego Ignacego  55  ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-27";"24815/15";"4316/15";"2015-08-17";2015;7;"2015-07-01";16;"2015_07";"Lato";17,0547396;51,1241054
"22260";2250;"";"";"Marmurowa 5 ";"bud.mieszkalne jednorodzinne";"rozbudowa budynku mieszkalnego jednorodzinnego w zabudowie szeregowej";"rozbudowa";"2015-05-15";"15642/15";"4317/15";"2015-08-17";2015;5;"2015-05-01";67;"2015_05";"Wiosna";17,0403123;51,0675209
"22261";2251;"";"";"Boles³awa Krzywoustego 284 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-06-16";"19559/15";"4318/15";"2015-08-17";2015;6;"2015-06-01";45;"2015_06";"Lato";17,1098149;51,145702
"22262";2252;"";"";"Rakowiecka  27 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu u¿ytkowym";"inst.wewnêtrzna";"2015-06-26";"20955/15";"4320/15";"2015-08-17";2015;6;"2015-06-01";37;"2015_06";"Lato";17,0675339;51,099252
"22263";2253;"";"";"Kamiennogórska 104 ";"bud.mieszkalne jednorodzinne";"monta¿ wewnêtrznej instalacji gazu w budynku mieszkalnym jednorodzinnym";"inst.wewnêtrzna";"2015-08-05";"25863/15";"4321/15";"2015-08-17";2015;8;"2015-08-01";9;"2015_08";"Lato";16,8964832;51,1320371
"22264";2254;"";"";"Pe³czyñska 8 ";"zbiorniki,silosy i bud.magazynowe";"budowa hali produkcyjnej i magazynowej z czêœci¹ socjaln¹";"nowe";"2015-07-31";"25375/15";"4323/15";"2015-08-18";2015;7;"2015-07-01";13;"2015_07";"Lato";17,0017399;51,1626009
"22265";2255;"";"";"Odrzañska 7  ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku wielorodzinnym";"przebudowa";"2015-05-28";"17405/15";"4327/15";"2015-08-18";2015;5;"2015-05-01";59;"2015_05";"Wiosna";17,0313639;51,111955
"22266";2256;"";"";"Reja Miko³aja 2 ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"zmiana spos.u¿ytk.";"2015-05-22";"16474/15";"4328/15";"2015-08-18";2015;5;"2015-05-01";63;"2015_05";"Wiosna";17,0566017;51,1130345
"22267";2257;"";"";"Iracka  12 ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego w zabudowie wolno stoj¹cej";"nowe";"2015-06-22";"20233/15";"4335/15";"2015-08-18";2015;6;"2015-06-01";42;"2015_06";"Lato";17,0829266;51,0540844
"22268";2258;"";"";"GwiaŸdzista  ";"ulice i drogi pozosta³e";"przebudowa pasa drogowego ulicy gwia¿dzistej";"przebudowa";"2015-06-03";"18138/15";"4338/15";"2015-08-18";2015;6;"2015-06-01";55;"2015_06";"Lato";17,0204189;51,0963381
"22269";2259;"";"";"Zakopiañska 68A ";"bud.mieszkalne jednorodzinne";"monta¿ wewnêtrznej instalacji gazowej w budynku mieszkalnym";"inst.wewnêtrzna";"2015-07-22";"24275/15";"4341/15";"2015-08-18";2015;7;"2015-07-01";20;"2015_07";"Lato";16,8878689;51,131958
"22270";2260;"";"";"Ga³owska  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-05-29";"17482/15";"4342/15";"2015-08-18";2015;5;"2015-05-01";58;"2015_05";"Wiosna";16,8580096;51,1172339
"22271";2261;"";"";"Lindego Samuela Bogumi³a  10 ";"bud.o dwóch mieszkaniach";"rozbudowa lokalu mieszkalnego budynku jednorodzinnego dwulokalowego";"rozbudowa";"2015-05-07";"14467/15";"4346/15";"2015-08-18";2015;5;"2015-05-01";74;"2015_05";"Wiosna";17,0396861;51,1375137
"22272";2262;"";"";"Dworcowa  1A ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i centralnego ogrzewania w lokalu mieszkalnym, w budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-16";"23593/15";"4352/15";"2015-08-19";2015;7;"2015-07-01";25;"2015_07";"Lato";17,039894;51,1030164
"22273";2263;"";"";"Kazimierza Jagielloñczyka 8  ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym, budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-29";"25046/15";"4353/15";"2015-08-19";2015;7;"2015-07-01";16;"2015_07";"Lato";17,0331416;51,121371
"22274";2264;"";"";"Hallera Józefa Gen. Aleja 124 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i centralnego ogrzewania w lokalu mieszklanym.";"inst.wewnêtrzna";"2015-07-08";"22495/15";"4354/15";"2015-08-19";2015;7;"2015-07-01";31;"2015_07";"Lato";16,9900218;51,0905566
"22275";2265;"";"";"Ledóchowskiego Mieczys³awa Kard. 9 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-27";"24734/15";"4355/15";"2015-08-19";2015;7;"2015-07-01";18;"2015_07";"Lato";17,0488206;51,1205132
"22276";2266;"";"";"Robotnicza 72 ";"ruroci¹gi gazu sieci rozdzielczej";"instalacja gazu dla budynku.";"nowe";"2015-06-17";"19719/15";"4356/15";"2015-08-19";2015;6;"2015-06-01";46;"2015_06";"Lato";16,9992754;51,1117338
"22277";2267;"";"";"Damrota Konstantego Ks.  37 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym, w budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-06-02";"17925/15";"4357/15";"2015-08-19";2015;6;"2015-06-01";57;"2015_06";"Lato";17,0573766;51,1243434
"22278";2268;"";"";"Lniana  19 ";"bud.o trzech i wiêcej mieszkaniach";"remont elewacji wraz z dociepleniem budynku mieszkalnego wielorodzinnego";"remont";"2015-06-01";"17758/15";"4359/15";"2015-08-19";2015;6;"2015-06-01";58;"2015_06";"Lato";17,0440975;51,0899709
"22279";2269;"";"";"Odrzañska  22 ";"bud.biurowe";"przebudowa siedziby do2b-wyburzenie œcianki dzia³owej";"przebudowa";"2015-08-17";"27117/15";"4362/15";"2015-08-19";2015;8;"2015-08-01";3;"2015_08";"Lato";17,031325;51,1128299
"22280";2270;"";"";"Worcella Stanis³awa 7 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i centralnego ogrzewania w lokalu mieszkalnym.";"inst.wewnêtrzna";"2015-07-15";"23478/15";"4364/15";"2015-08-19";2015;7;"2015-07-01";26;"2015_07";"Lato";17,0440395;51,104195
"22281";2271;"";"";"Sienkiewicza Henryka  37 ";"bud.o trzech i wiêcej mieszkaniach";"pryebudowa i remont scian elewacyjnych budznku mieszkalnego, wielorodzinnego.";"remont";"2015-06-09";"18536/15";"4366/15";"2015-08-19";2015;6;"2015-06-01";52;"2015_06";"Lato";17,0533253;51,1163467
"22282";2272;"";"";"Niemcewicza Juliana Ursyna 2 ";"bud.szkó³ i instytucji badawczych";"remont budynku";"remont";"2015-07-01";"21690/15";"4367/15";"2015-08-19";2015;7;"2015-07-01";36;"2015_07";"Lato";17,0389188;51,1197397
"22283";2273;"";"";"Roentgena Wilhelma 9 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa poddasza nieu¿ytkowego na lokal mieszkalny wraz z przebud.dachu budynku mieszkalnego wielorodzinnego";"przebudowa";"2015-06-02";"17955/15";"4368/15";"2015-08-19";2015;6;"2015-06-01";57;"2015_06";"Lato";17,0637156;51,1149902
"22284";2274;"";"";"Boles³awa Chrobrego  38 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacjigazowej w lokalu mieszkalnym w budynku wielorodzinnyn";"inst.wewnêtrzna";"2015-06-16";"19591/15";"4370/15";"2015-08-19";2015;6;"2015-06-01";47;"2015_06";"Lato";17,034142;51,1237719
"22285";2275;"";"";"Piramowicza Grzegorza Ks.  14  ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku jednorodzinnym";"inst.wewnêtrzna";"2015-07-28";"24974/15";"4371/15";"2015-08-19";2015;7;"2015-07-01";17;"2015_07";"Lato";17,0969921;51,1045362
"22286";2276;"";"";"Brahmsa Johannesa  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego oraz altany";"nowe";"2015-07-10";"22921/15";"4373/15";"2015-08-19";2015;7;"2015-07-01";29;"2015_07";"Lato";17,064954;51,0536933
"22287";2277;"";"";"Szewska  75/77 ";"";"monta¿ neonu reklamowego na elewacji budynku";"reklama";"2015-08-06";"25992/15";"4375/15";"2015-08-19";2015;8;"2015-08-01";10;"2015_08";"Lato";17,0340984;51,1093793
"22288";2278;"";"";"Wys³oucha Seweryna  11 ";"bud.mieszkalne jednorodzinne";"przebudowa tarasu budynku mieszkalnego jednorodzinnego w zabudowie szeregowej.";"rozbudowa";"2015-06-16";"19539/15";"4376/15";"2015-08-19";2015;6;"2015-06-01";47;"2015_06";"Lato";16,9751006;51,0749372
"22289";2279;"";"";"Piaskowa  17 ";"bud.handlowo-uslugowe";"przebudowa czêœci kondygnacji podziemnej budynku na lokal gastronomiczny.";"przebudowa";"2015-07-07";"22421/15";"4377/15";"2015-08-19";2015;7;"2015-07-01";32;"2015_07";"Lato";17,0403039;51,1124581
"22290";2280;"";"";"Paderewskiego Ignacego Jana Aleja  35 ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"budowa zewnêtrznej instalacji: kanalizacji sanitarnej, deszczowej,wodoci¹gowej, drena¿ boiska, demonta¿ gazoci¹gu,instalacji elektrycznych oraz budowa przy³¹czy";"nowe";"2015-06-15";"19414/15";"4380/15";"2015-08-19";2015;6;"2015-06-01";48;"2015_06";"Lato";17,0906506;51,1179435
"22291";2281;"";"";"D³ugosza Jana  48 ";"bud.biurowe";"budowa budynku biurowego z czêœci¹ sprzeda¿ow¹ wraz z pom.magazynowymi";"nowe";"2015-04-02";"10469/15";"4381/15";"2015-08-19";2015;4;"2015-04-01";100;"2015_04";"Wiosna";17,0643798;51,1346552
"22292";2282;"";"";"Brzeska  16 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa wnêtrza istniej¹cego lokalu mieszkalnego.";"przebudowa";"2015-05-27";"17196/15";"4382/15";"2015-08-19";2015;5;"2015-05-01";61;"2015_05";"Wiosna";17,0528294;51,0968225
"22293";2283;"";"";"Dolnobrzeska  ";"bud.handlowo-uslugowe";"budowa budynku us³ugowego-kliniki chirurgii plastycznej z gabinetami lekarskimi";"nowe";"2014-10-29";"35093/14";"4383/15";"2015-08-19";2014;10;"2014-10-01";211;"2014_10";"Jesieñ";16,8563942;51,1565238
"22294";2284;"";"";"Krêta  24 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-10";"22813/15";"4384/15";"2015-08-19";2015;7;"2015-07-01";29;"2015_07";"Lato";17,0388669;51,1243036
"22295";2285;"";"";"Braci Gierymskich 33A ";"bud.mieszkalne jednorodzinne";"monta¿ wewnêtrznej instalacji gazowej i c.o. w budynku mieszkalnym jednorodzinnym dwulokalowym";"inst.wewnêtrzna";"2015-07-03";"21981/15";"4385/15";"2015-08-19";2015;7;"2015-07-01";34;"2015_07";"Lato";17,103019;51,0982769
"22296";2286;"";"";"Daszyñskiego Ignacego  55 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-31";"25480/15";"4386/15";"2015-08-19";2015;7;"2015-07-01";14;"2015_07";"Lato";17,0547396;51,1241054
"22297";2287;"";"";"Chopina Fryderyka  17 ";"bud.mieszkalne jednorodzinne";"przebudowa ogrodzenia frontowego oraz zewnêtrznej i wewnêtrznej instalacji gazowej w budynku mieszkalnym, jednorodzinnym w zabudowie bliŸniaczej.";"przy³.+ins.wew";"2015-07-06";"22208/15";"4387/15";"2015-08-19";2015;7;"2015-07-01";33;"2015_07";"Lato";17,0836609;51,1210781
"22298";2288;"";"";"Jednoœci Narodowej 174 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-23";"24349/15";"4389/15";"2015-08-19";2015;7;"2015-07-01";20;"2015_07";"Lato";17,048794;51,1269319
"22299";2289;"";"";"Kraszewskiego Józefa Ignacego  30 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-10";"22799/15";"4394/15";"2015-08-20";2015;7;"2015-07-01";30;"2015_07";"Lato";17,0315683;51,1284313
"22300";2290;"";"";"Klasztorna  50 ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"przebudowa";"2015-06-17";"19684/15";"4397/15";"2015-08-20";2015;6;"2015-06-01";47;"2015_06";"Lato";17,043381;51,0622649
"22301";2291;"";"";"Wincentego Œw.  21 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-08-04";"25719/15";"4398/15";"2015-08-20";2015;8;"2015-08-01";13;"2015_08";"Lato";17,0337149;51,1225278
"22302";2292;"";"";"Boles³awa Krzywoustego 273 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-10";"22976/15";"4400/15";"2015-08-20";2015;7;"2015-07-01";30;"2015_07";"Lato";17,1084539;51,1454589
"22303";2293;"";"";"Tymiankowa  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-05-15";"15528/15";"4402/15";"2015-08-20";2015;5;"2015-05-01";70;"2015_05";"Wiosna";16,9963781;51,1822954
"22304";2294;"";"";"D¹browskiego Jana Henryka Gen.  21 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-31";"25322/15";"4403/15";"2015-08-20";2015;7;"2015-07-01";15;"2015_07";"Lato";17,0418091;51,1014785
"22305";2295;"";"";"Koœcierzyñska  32 ";"linie elektroener.i telekom.rozdzielcz.";"umorzenie";"nowe";"2015-07-01";"21541/15";"4404/15";"2015-08-20";2015;7;"2015-07-01";37;"2015_07";"Lato";17,0848659;51,1311649
"22306";2296;"";"";"Ujejskiego Kornela  34 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej dla lokalu mieszklanego.";"inst.wewnêtrzna";"2015-08-03";"25614/15";"4414/15";"2015-08-20";2015;8;"2015-08-01";14;"2015_08";"Lato";17,0442397;51,1423943
"22307";2297;"";"";"  ";"bud.biurowe";"budowa zespo³u obiektów trakcji prkil s.a wraz z budow¹ i remontem infrastr. technicznej kolejowej i drogowej";"nowe";"2014-10-15";"33401/14";"4415/15";"2015-08-20";2014;10;"2014-10-01";222;"2014_10";"Jesieñ";17,0385376;51,1078852
"22308";2298;"";"";"Koœciuszki Tad.Gen.Plac 5 ";"bud.o trzech i wiêcej mieszkaniach";"remont dachu budynku mieszkalno-us³ugowego.";"remont";"2015-06-22";"20124/15";"4416/15";"2015-08-20";2015;6;"2015-06-01";44;"2015_06";"Lato";17,0385376;51,1078852
"22309";2299;"";"";"Grabiszyñska  67 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym, w budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-16";"23613/15";"4417/15";"2015-08-20";2015;7;"2015-07-01";26;"2015_07";"Lato";17,0136554;51,10265
"22310";2300;"";"";"Leœmiana Boles³awa 9 ";"bud.mieszkalne jednorodzinne";"odmowa.";"inst.wewnêtrzna";"2015-06-19";"19993/15";"4422/15";"2015-08-20";2015;6;"2015-06-01";45;"2015_06";"Lato";17,0486371;51,1408332
"22311";2301;"";"";"Marszowicka  38 ";"bud.niemieszkalne pozosta³e";"odmowa";"nowe";"2014-05-08";"14668/14";"4425/15";"2015-08-21";2014;5;"2014-05-01";337;"2014_05";"Wiosna";16,8820039;51,1650319
"22312";2302;"";"";"Poniatowskiego Józefa Ksiêcia  22  ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym, w budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-31";"25394/15";"4432/15";"2015-08-21";2015;7;"2015-07-01";16;"2015_07";"Lato";17,0430668;51,1210898
"22313";2303;"";"";"Kamieñskiego Henryka Micha³a 266 ";"bud.mieszkalne jednorodzinne";"budowa wolno stoj¹cego budynku mieszkalnego jednorodzinnego";"nowe";"2015-07-29";"25036/15";"4433/15";"2015-08-21";2015;7;"2015-07-01";18;"2015_07";"Lato";17,0451916;51,1630208
"22314";2304;"";"";"  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej œr/n 20 kv";"nowe";"2015-06-24";"20503/15";"4434/15";"2015-08-21";2015;6;"2015-06-01";43;"2015_06";"Lato";17,0385376;51,1078852
"22315";2305;"";"";"Pasteura Ludwika Wybrze¿e  15 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-31";"25339/15";"4436/15";"2015-08-21";2015;7;"2015-07-01";16;"2015_07";"Lato";17,0703161;51,1130927
"22316";2306;"";"";"Barlickiego Norberta 1 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym, w budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-08-03";"25577/15";"4437/15";"2015-08-21";2015;8;"2015-08-01";15;"2015_08";"Lato";17,0482023;51,1211749
"22317";2307;"";"";"Norwida Cypriana Kamila  18 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym, w budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-06-26";"20897/15";"4438/15";"2015-08-21";2015;6;"2015-06-01";41;"2015_06";"Lato";17,0616756;51,1093278
"22318";2308;"";"";"Wróblewskiego Zygmunta 1-5 ";"budowle sportowe i rekreacyjne pozosta³e";"budowa pawilonu wystawowego";"nowe";"2015-07-15";"23342/15";"4440/15";"2015-08-21";2015;7;"2015-07-01";28;"2015_07";"Lato";17,0762221;51,1056374
"22319";2309;"";"";"Borowska 213 ";"bud.szpitali i zak³.opieki medycznej";"monta¿ wewnêtrznych instalacji gazu propan butan w pom.laboratoryjnych w budynkach a,b,c";"przebudowa";"2015-08-10";"26406/15";"4441/15";"2015-08-21";2015;8;"2015-08-01";10;"2015_08";"Lato";17,0299037;51,0740717
"22320";2310;"";"";"Wincentego Œw.  25";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-23";"24463/15";"4442/15";"2015-08-21";2015;7;"2015-07-01";22;"2015_07";"Lato";17,0342671;51,1226343
"22321";2311;"";"";"Walecznych  16";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-10";"22850/15";"4443/15";"2015-08-21";2015;7;"2015-07-01";31;"2015_07";"Lato";17,059869;51,1195479
"22322";2312;"";"";"Trawowa 39";"bud.mieszkalne jednorodzinne";"umorzenie";"nowe";"2015-06-26";"21034/15";"4448/15";"2015-08-24";2015;6;"2015-06-01";42;"2015_06";"Lato";16,951839;51,098929
"22323";2313;"";"";"Bazyliowa  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa sieci gazowej œredniego ciœnienia dla budynków mieszkalnych";"nowe";"2015-07-31";"25378/15";"4452/15";"2015-08-24";2015;7;"2015-07-01";17;"2015_07";"Lato";17,0020369;51,174609
"22324";2314;"";"";"Œlê¿na 174";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym  w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-23";"24492/15";"4453/15";"2015-08-24";2015;7;"2015-07-01";23;"2015_07";"Lato";17,0195244;51,0775584
"22325";2315;"";"";"Porajowska  ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"budowa sieci wodociagowej";"nowe";"2015-06-26";"21011/15";"4454/15";"2015-08-24";2015;6;"2015-06-01";42;"2015_06";"Lato";17,0385376;51,1078852
"22326";2316;"";"";"Wyspiañskiego Stan.Wyb. 9";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-08-04";"25786/15";"4455/15";"2015-08-24";2015;8;"2015-08-01";15;"2015_08";"Lato";17,0385376;51,1078852
"22327";2317;"";"";"Stalowa  81";"bud.o trzech i wiêcej mieszkaniach";"montaz wewnetrznej instalacji gazu w lokalu";"inst.wewnêtrzna";"2015-07-17";"23823/15";"4456/15";"2015-08-24";2015;7;"2015-07-01";27;"2015_07";"Lato";17,0002089;51,101808
"22328";2318;"";"";"Krucza 142";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-08-06";"25999/15";"4457/15";"2015-08-24";2015;8;"2015-08-01";13;"2015_08";"Lato";16,9978549;51,093723
"22329";2319;"";"";"Mielecka 4 ";"bud.o trzech i wiêcej mieszkaniach";"montaz wewnêtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnêtrzna";"2015-07-27";"24691/15";"4458/15";"2015-08-24";2015;7;"2015-07-01";21;"2015_07";"Lato";17,0032259;51,0925559
"22330";2320;"";"";"Szwedzka  22 ";"bud.mieszkalne jednorodzinne";"monta¿ wewnetrznej instalacji gazu w budynku";"inst.wewnêtrzna";"2015-07-21";"24081/15";"4459/15";"2015-08-24";2015;7;"2015-07-01";25;"2015_07";"Lato";16,9624719;51,1093769
"22331";2321;"";"";"Straussa Johanna  ";"linie elektroener.i telekom.rozdzielcz.";"umorzenie";"nowe";"2015-07-07";"22444/15";"4460/15";"2015-08-24";2015;7;"2015-07-01";35;"2015_07";"Lato";17,0628834;51,0524102
"22332";2322;"";"";"Tarnogajska 53";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2015-07-29";"25054/15";"4462/15";"2015-08-24";2015;7;"2015-07-01";19;"2015_07";"Lato";17,062796;51,0786839
"22333";2323;"";"";"Hallera Józefa Gen. Aleja 113";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2015-07-31";"25377/15";"4463/15";"2015-08-24";2015;7;"2015-07-01";17;"2015_07";"Lato";16,9923971;51,0908144
"22334";2324;"";"";"Drobnera Boles³awa 6 ";"bud.o trzech i wiêcej mieszkaniach";"montaz wewnetrznej instalacji gazu i c.o.w lokalu mieszkalnym";"inst.wewnêtrzna";"2015-08-05";"25846/15";"4464/15";"2015-08-24";2015;8;"2015-08-01";14;"2015_08";"Lato";17,0330556;51,1165426
"22335";2325;"";"";"Budziszyñska 2";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2015-07-30";"25202/15";"4465/15";"2015-08-24";2015;7;"2015-07-01";18;"2015_07";"Lato";16,9645427;51,1143004
"22336";2326;"";"";"£êczycka  16";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2015-07-09";"22662/15";"4466/15";"2015-08-24";2015;7;"2015-07-01";33;"2015_07";"Lato";17,011933;51,1196304
"22337";2327;"";"";"Cha³ubiñskiego Tytusa 3 ";"bud.biurowe";"przebudowa niskiego parteru budynku uniwersytetu medycznego na funkcjê biurow¹ i laboratoryjn¹";"przebudowa";"2015-06-19";"20076/15";"4467/15";"2015-08-24";2015;6;"2015-06-01";47;"2015_06";"Lato";17,0676403;51,1108551
"22338";2328;"";"";"Mokrzañska  35 ";"bud.handlowo-uslugowe";"umorzenie";"przebudowa";"2015-07-30";"25247/15";"4469/15";"2015-08-24";2015;7;"2015-07-01";18;"2015_07";"Lato";16,856168;51,1517089
"22339";2329;"";"";"Brzeska 4  ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokal mieszkalnego w budynku wielorodzinnym";"przebudowa";"2015-07-06";"22069/15";"4470/15";"2015-08-24";2015;7;"2015-07-01";36;"2015_07";"Lato";17,05088;51,0973399
"22340";2330;"";"";"Weso³a 13A ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2015-07-01";"21577/15";"4473/15";"2015-08-24";2015;7;"2015-07-01";39;"2015_07";"Lato";17,03547;51,090626
"22341";2331;"";"";"Grunwaldzka  56 ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2015-08-05";"25831/15";"4474/15";"2015-08-24";2015;8;"2015-08-01";14;"2015_08";"Lato";17,061698;51,11399
"22342";2332;"";"";"Grunwaldzka  36 ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2015-07-15";"23369/15";"4476/15";"2015-08-25";2015;7;"2015-07-01";30;"2015_07";"Lato";17,0592121;51,1140748
"22343";2333;"";"";"  ";"bud.o trzech i wiêcej mieszkaniach";"budynek mieszkalny wielorodzinny z us³ugami";"nowe";"2015-06-24";"20528/15";"4477/15";"2015-08-25";2015;6;"2015-06-01";45;"2015_06";"Lato";17,0385376;51,1078852
"22344";2334;"";"";"Pilczycka  77 ";"bud.o trzech i wiêcej mieszkaniach";"docieplenie scian szczytowych ostatnich kondygnacji i wnek w klatkach schodowych";"remont";"2015-07-10";"22952/15";"4483/15";"2015-08-25";2015;7;"2015-07-01";33;"2015_07";"Lato";16,963691;51,1388789
